zone_id,date,month,day_of_week,electricity_load,rainfall,temperature,humidity,equipment_age,maintenance_frequency,equipment_health,past_outages,grid_complexity,voltage_stability,outage
1,2022-01-01,1,5,42.25,5.12,33.92,54.01,33.52,11,0.93,0,0.807,1.0,1
1,2022-01-02,1,6,49.12,9.93,27.85,54.08,33.52,11,0.93,2,0.807,1.0,0
1,2022-01-03,1,0,62.39,8.64,27.01,51.99,33.52,11,0.93,3,0.807,1.0,0
1,2022-01-04,1,1,51.03,2.39,30.86,55.7,33.52,11,0.93,0,0.807,1.0,0
1,2022-01-05,1,2,61.53,8.56,24.02,51.12,33.52,11,0.93,1,0.807,1.0,0
1,2022-01-06,1,3,50.06,20.34,24.37,62.06,33.52,11,0.93,0,0.807,1.0,0
1,2022-01-07,1,4,67.03,9.75,29.48,49.68,33.52,11,0.93,2,0.807,1.0,1
1,2022-01-08,1,5,39.0,1.88,23.4,55.4,33.52,11,0.93,0,0.807,1.0,0
1,2022-01-09,1,6,49.02,20.82,29.29,65.67,33.52,11,0.93,1,0.807,0.999,0
1,2022-01-10,1,0,53.93,7.95,29.41,50.1,33.52,11,0.93,3,0.807,1.0,0
1,2022-01-11,1,1,64.96,8.86,27.16,57.91,33.52,11,0.93,1,0.807,1.0,1
1,2022-01-12,1,2,64.87,14.74,29.32,55.37,33.52,11,0.93,1,0.807,1.0,0
1,2022-01-13,1,3,70.16,3.18,26.87,49.98,33.52,11,0.93,0,0.807,1.0,0
1,2022-01-14,1,4,58.43,8.67,25.98,50.14,33.52,11,0.93,1,0.807,1.0,0
1,2022-01-15,1,5,37.96,2.87,31.29,56.58,33.52,11,0.93,0,0.807,1.0,1
1,2022-01-16,1,6,47.69,3.62,28.53,61.27,33.52,11,0.93,2,0.807,1.0,0
1,2022-01-17,1,0,62.63,9.42,25.43,56.33,33.52,11,0.93,2,0.807,1.0,1
1,2022-01-18,1,1,76.38,13.03,27.74,59.65,33.52,11,0.93,0,0.807,1.0,0
1,2022-01-19,1,2,66.74,15.85,20.09,65.7,33.52,11,0.93,1,0.807,0.999,1
1,2022-01-20,1,3,53.05,37.59,27.86,69.86,33.52,11,0.93,2,0.807,0.99,0
1,2022-01-21,1,4,62.17,19.45,30.7,60.61,33.52,11,0.93,3,0.807,1.0,0
1,2022-01-22,1,5,43.27,7.81,24.22,53.1,33.52,11,0.93,1,0.807,1.0,0
1,2022-01-23,1,6,54.45,9.46,25.3,47.19,33.52,11,0.93,1,0.807,1.0,0
1,2022-01-24,1,0,63.93,16.17,28.74,63.29,33.52,11,0.93,0,0.807,1.0,0
1,2022-01-25,1,1,63.97,11.93,22.79,54.71,33.52,11,0.93,0,0.807,1.0,0
