zone_id,zone_name,latitude,longitude,population,infrastructure_type,transformer_count
1,Zone-1,17.2595,78.9374,309178,Mixed,25
2,Zone-2,17.041,78.1427,480410,Industrial,28
3,Zone-3,17.2187,78.1296,91090,Commercial,6
4,Zone-4,17.607,78.9253,249041,Mixed,25
5,Zone-5,17.5025,78.5984,308795,Residential,31
6,Zone-6,17.4969,78.1262,180523,Mixed,20
7,Zone-7,17.1178,78.0773,478989,Industrial,48
8,Zone-8,17.3992,78.5791,323538,Residential,11
9,Zone-9,17.0555,78.0518,191699,Residential,18
10,Zone-10,17.6934,78.2913,118148,Commercial,24
11,Zone-11,17.126,78.67,98555,Residential,12
12,Zone-12,16.9194,78.896,250551,Mixed,6
13,Zone-13,17.3102,78.1946,365139,Commercial,33
14,Zone-14,17.8546,78.7618,246769,Commercial,40
15,Zone-15,17.4829,78.9086,90397,Industrial,44
16,Zone-16,17.7295,78.734,132798,Residential,28
17,Zone-17,17.2418,78.2676,451787,Residential,45
18,Zone-18,17.1813,78.152,98984,Industrial,13
19,Zone-19,17.6572,78.1854,174375,Industrial,15
20,Zone-20,17.0838,78.698,111858,Residential,9
21,Zone-21,17.8113,78.6378,233323,Industrial,13
22,Zone-22,17.5083,78.3176,401279,Industrial,27
23,Zone-23,17.5538,78.6526,323109,Industrial,39
24,Zone-24,17.3572,78.1063,208338,Residential,9
25,Zone-25,17.4463,78.7577,140982,Industrial,13
26,Zone-26,17.5957,78.0976,73419,Residential,36
27,Zone-27,17.5214,78.3011,160687,Mixed,34
28,Zone-28,17.0243,78.5911,248286,Industrial,33
29,Zone-29,17.1138,78.0637,387594,Industrial,26
30,Zone-30,17.7655,78.6111,485773,Residential,10
